user_id,name,email,department,role,employment_type,privilege_level,critical_asset_access,hire_date,attempts,opens,clicks,reports,creds_submitted,click_rate,report_rate,creds_any,events,downloads_gb,after_hours_events,anom_geo_events,escalate_events,delete_events,after_hours_rate,anom_geo_rate,violations,viol_low,viol_med,viol_high,viol_repeat_sum,viol_high_any,LIKELIHOOD,IMPACT,DETECTABILITY,HTI,risk_band,origin,method,exposure,outcome
USR0001,Allison Hill,donaldgarcia@mcclain.com,Finance,Contractor,contractor,normal,0,2021-04-22,3,0,0,0,0,0.0,0.0,0,10,8.77,4,0,0,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.7,Very Low,contractor,normal-operations,payment-approval / payroll,negligible impact
USR0002,Lance Hoffman,lrobinson@pacheco-smith.com,HR,Manager,employee,elevated,0,2024-04-30,2,1,0,0,0,0.0,0.0,0,12,13.47,7,0,1,0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1458,0.3,0.6,3.06,Very Low,employee,data-exfiltration / privilege-misuse,personnel records,negligible impact
USR0003,Christopher Bernard,curtis61@abbott-munoz.com,Finance,HR Specialist,employee,normal,1,2024-06-27,2,0,0,0,0,0.0,0.0,0,10,7.26,4,2,0,1,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.7,0.6,6.86,Very Low,employee,anomalous-behavior (time/geo),payment-approval / payroll,negligible impact
USR0004,Valerie Gray,maria95@lee.com,HR,Analyst,employee,normal,0,2025-10-06,3,0,0,0,0,0.0,0.0,0,21,17.9,8,0,1,0,0.3809523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952,0.0,0.6,0.67,Very Low,employee,data-exfiltration / privilege-misuse,personnel records,negligible impact
USR0005,Sharon James,xreid@wood.com,HR,HR Specialist,employee,elevated,0,2024-05-07,4,0,0,0,0,0.0,0.0,0,24,39.7,11,0,0,1,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1146,0.3,0.6,2.41,Very Low,employee,data-exfiltration / privilege-misuse,personnel records,negligible impact
USR0006,Andrea Reid,frankgray@watts.com,HR,Finance Officer,employee,normal,0,2021-12-25,2,2,0,0,0,0.0,0.0,0,22,26.27,14,1,0,0,0.6363636363636364,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.1682,0.0,0.6,1.18,Very Low,employee,data-exfiltration / privilege-misuse,personnel records,negligible impact
USR0007,Ethan Adams,robinbradley@edwards.info,HR,Analyst,employee,normal,0,2021-07-21,3,0,0,0,0,0.0,0.0,0,21,26.52,10,0,1,0,0.4761904761904761,0.0,3.0,2.0,1.0,0.0,6.0,0.0,0.119,0.0,0.84,0.69,Very Low,employee,data-exfiltration / privilege-misuse,personnel records,negligible impact
USR0008,Patrick Ryan,zhurst@robinson-bright.net,HR,Manager,employee,admin,0,2023-04-22,2,0,0,0,0,0.0,0.0,0,19,18.93,10,0,2,0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1316,0.3,0.6,2.76,Very Low,employee,data-exfiltration / privilege-misuse,personnel records,negligible impact
USR0009,Shannon Hernandez,laurahenderson@cruz.info,Marketing,Analyst,employee,normal,0,2023-06-26,4,1,0,0,0,0.0,0.0,0,25,23.94,12,0,1,0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.6,0.84,Very Low,employee,data-exfiltration / privilege-misuse,brand / social accounts,negligible impact
USR0010,Shannon Smith,maldonadoamanda@mack-peterson.com,Engineering,HR Specialist,employee,elevated,0,2023-01-05,4,0,0,0,0,0.0,0.0,0,18,20.35,2,0,1,1,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.3,0.6,0.58,Very Low,employee,data-exfiltration / privilege-misuse,source code / build artifacts,negligible impact
